PLATEIFU,Re_kpc,SNR_HI,kappa,kappa_statErr,af,af_statErr,cv,cv_statErr,Dn4000,M_all,class_con,inclination,OBJRA,OBJDEC,nsa_iauname,Z,VOPT,SESSION,PEAK,FHI,EFHI,LOGMHI,VHI,EV,WP50,conflag,conf_prob
8999-12701,3.638632295926031,14.523384053175354,0.0326996789026882,0.0144819113283219,1.0495684817109687,0.0958969106970297,4.121951219512195,0.2213323901734305,1.2750253677368164,9.648941283633974,SF,41.80965766651791,163.06386,49.695698,J105215.32+494144.5,0.0227975,6834.5,AGBT17A_012_136,0.008771524,1.1560144,0.120225675,9.41161,6847.986,55.97431,153.10507,0,0.0
8461-12703,3.318058708725973,86.7127658961646,-0.0710984583331555,0.0010801874103091,1.015325266966159,0.0042882572922562,2.5996363028809437,0.0179519173271225,1.330716609954834,9.34160069204006,SF,68.02962933407525,147.32578,43.35172,J094918.19+432106.2,0.0164167,4921.6,AGBT17A_012_286-AGBT17A_012_89,0.030008236,5.295514,0.083129294,9.790322,4940.931,3.0711448,228.27022,0,0.0
11826-9101,3.6705845679188185,58.39599880237228,0.0641000100499116,0.0033143134856632,1.077741991953155,0.02227435012201,4.132398316970548,0.0738729635646536,1.2074438333511353,9.670632277435029,SF,35.136364333947206,187.89366,37.980553,J123134.40+375846.0,0.02376603,7124.9,AGBT20B_033_101,0.042958662,3.225505,0.09223238,9.89128,7123.4907,4.8996024,62.145416,0,0.0
7962-12704,3.9369869660458705,19.941450911246683,0.0448172302748824,0.0082623559020469,1.387664086121528,0.0547807522838995,3.953092507474316,0.2063142372077947,1.3338204622268677,9.821464397290754,SF,39.19284411965504,260.8831,27.45871,J172331.93+272731.3,0.0223086,6688.0,AGBT17A_012_03,0.007637395,1.3494955,0.14541864,9.462549,6719.861,71.481766,244.7696,0,0.0
9189-1902,1.2403337930996428,22.55194962388967,-0.0227115229737389,0.0111318083488688,1.2238246309476242,0.0348672819823076,2.937888198757764,0.0919938083368429,1.5829087495803833,9.389879867582028,QS,37.65292463362275,53.09431,-6.3109674,J033222.63-061839.5,0.0352517,10568.2,AGBT19A_127_13,0.011009935,2.7970684,0.22883712,10.179745,10687.7705,23.31614,403.39133,0,0.0
8453-3703,2.188484974425534,5.385424430678271,-0.0113458275832678,0.0414413729132888,1.090011242797292,2.09564512635601,3.8346582348497673,0.3840824047737448,1.6103332042694092,9.53217323290861,QS,41.64315105481221,153.75261,46.756752,J101500.62+464524.3,0.0246439,7388.1,AGBT17A_012_245,0.005559903,0.29359204,0.0752857,8.874306,7324.6475,17.451529,71.86224,0,0.0
9488-6103,2.1123586646511088,6.086761883611061,0.0966297009130439,0.0183914572143085,1.0384993426585116,0.2918625096763071,6.848433568747436,0.8239520593640667,1.591532588005066,9.386572084954564,QS,63.63230298093508,125.32921,21.44684,J082118.98+212648.6,0.0151547,4543.3,AGBT17A_012_269,0.0047669667,0.23342721,0.05713252,8.357752,4521.9097,28.471428,50.963478,0,0.0
8588-3704,2.672479104119528,5.518762446804368,0.0367460491554546,0.0394857207538201,1.3697742466321483,0.62641129373515,4.152547109549664,0.6107216715796919,1.7365087270736694,10.175934884893158,QS,28.0146985646062,250.96927,39.9834,J164352.62+395900.2,0.0299994,8993.0,16A-50,0.005916001,0.42000002,0.05681186,9.203509,8989.0,21.08,97.30815,0,0.0
10222-12701,3.331185936848069,35.66330600228778,-0.0488258028754117,0.0075564777510639,1.1047013421988037,0.010984104264277,2.8451612903225807,0.040596889681645,1.7940349578857422,10.123247126608419,QS,63.17079269365845,43.097507,-8.51039,J025223.39-083037.4,0.0167549,5023.0,AGBT20B_033_79,0.022309147,4.67739,0.1688316,9.750629,5023.064,4.328804,371.58334,0,0.0
11872-3703,2.5580376634268536,22.05794092982997,-0.0186701352996674,0.0084692573214987,1.1634102319655322,0.0299090115235544,3.3233532934131738,0.1285563182557386,1.8776763677597046,10.098802257621186,QS,50.56624101782453,180.7892,54.2226,J120309.39+541321.3,0.029677473,8897.1,AGBT20B_033_125,0.005019326,1.3927331,0.15726954,9.7166605,8878.794,18.57004,520.1103,0,0.0
