PLATEIFU,Re_kpc,SNR_HI,kappa,kappa_statErr,af,af_statErr,cv,cv_statErr,Dn4000,M_all,class_mis,inclination,OBJRA,OBJDEC,nsa_iauname,Z,VOPT,SESSION,PEAK,FHI,EFHI,LOGMHI,VHI,EV,W50,conflag,conf_prob
8623-6102,2.4787152623163387,9.239811024640254,0.0795409354241339,0.0146479396294737,1.022080961455565,0.2523698347202375,4.522954819945281,0.2890533816529666,1.6188862323760986,9.453105728389643,QS,55.26602381015718,311.658778146,0.339357846417,J204638.10+002021.6,0.0126345,3787.7,AGBT17A_012_148,0.015338105,0.73774815,0.11581176,8.691647,3734.033,17.715885,45.61661,0,0.0
7968-9102,4.649322258140494,18.30697009517583,0.0426529945846958,0.0103001679322251,1.0203556174687212,0.043163429509751,4.266187050359712,0.1623904686769393,1.7055097818374634,10.282157438875094,QS,31.7813107478092,323.751629512,-0.511444352259,J213500.39-003041.1,0.030156,9040.5,AGBT17A_012_153,0.007987181,2.318361,0.2195221,9.94871,8990.909,24.136395,516.2636,1,0.009065698531124156
8156-3702,2.2412746241292827,9.837214275573864,0.0250110282403548,0.0187540006598038,1.0728486796490857,0.0523771615817429,3.5594012862850253,0.452823289837012,1.3486640453338623,9.311223910432457,SF,61.653886001600725,54.0890115185,0.186890961787,J033621.35+001112.7,0.0241572,7242.1,AGBT17A_012_132-AGBT17A_012_160,0.006985759,0.6691135,0.10994802,9.221597,7235.112,15.928011,165.07521,0,0.0
8155-3702,1.7203318617297183,6.497266554886271,0.0161150740065897,0.0180982318006873,1.0184377665990734,0.0755456362306211,5.026666666666666,0.4213977102701822,1.7675517797470093,10.045803957584297,QS,58.18799081258894,54.0324255045,-0.596438683637,J033607.77-003547.1,0.0234372,7026.3,AGBT17A_012_170-AGBT17A_012_174,0.0073936363,0.8655143,0.17418237,9.3107,7047.063,10.764246,313.2447,0,0.0
8713-3704,2.1481750606822456,9.857699363503912,0.0809614733396683,0.0132791313769003,1.077664264777173,0.0601069363096083,4.899800885485017,0.1758759675798037,1.5807009935379028,9.544175984135245,QS,32.81310362548383,118.441654027,38.8690356271,J075345.99+385208.5,0.0397519,11917.3,AGBT17A_012_91,0.0073651033,0.6226182,0.091064855,9.622525,11941.788,62.250317,82.23598,0,0.0
8592-3702,1.7687526804354923,16.25034564994378,0.0400782110145715,0.007883455762173,1.218772324840848,0.1105390070745203,4.220779220779221,0.1437665568819585,1.396849513053894,9.55211313244333,SF,37.89321167440313,220.160423806,53.4780611097,J144038.49+532840.9,0.0376555,11288.8,AGBT17A_012_235,0.010210889,1.7738007,0.14015928,10.038006,11406.677,69.46311,187.67921,0,0.0
8934-12702,12.496638437460915,8.359697972249458,-9.403307680319E-4,0.0257137615693974,1.1348654568250602,0.0528994792274343,2.888141939129925,0.4449394113605778,1.9758473634719849,10.85613230744168,QS,21.89024059142754,195.358852894,27.8859851519,J130126.12+275309.5,0.018252,5471.9487,ALFALFA,0.003850711,0.69,0.06,9.23,5461.0,9.0,-999.0,1,0.0017892001196742058
8597-1901,1.3069813147594367,11.675786771908582,0.0017507860546626,0.0126236375780056,1.0567897813471336,0.1167690901280766,3.6808510638297873,0.1485538801443344,1.4170571565628052,9.147039097809461,SF,55.00917973441803,225.941781342,49.5258812712,J150346.01+493133.1,0.0192319,5765.6,AGBT17A_012_315-AGBT17A_012_317,0.0072634392,0.8272542,0.09977863,9.116468,5758.685,18.588905,147.06033,0,0.0
9026-3704,2.557346818898441,10.104654979506677,-0.0415554693319644,0.021169413331736,1.471127228550139,0.093571215249967,2.747320304593587,0.363162019353796,1.5711891651153564,9.90640562239346,SF,60.66249215967448,251.377910739,43.5816413886,J164530.68+433453.8,0.0314593,9431.3,AGBT17A_012_108,0.007878469,1.0187299,0.15142897,9.637839,9483.086,28.952612,292.68347,0,0.0
9025-3701,4.149203365235238,10.391214414147992,0.0060561986685486,0.0208019880375853,1.9802913519641352,0.0658247035869974,3.707813642978924,0.4438848904324741,1.476115107536316,9.972771955950364,SF,66.55821295481566,246.417716,29.1476103874,J162540.24+290851.3,0.0444465,13325.055,ALFALFA,0.005920203,1.09,0.08,9.97,13346.0,11.5,-999.0,1,0.026641014963388443
